SS_delay,correct,trial_condition,worker_id,correct_response
0.3,1,noncrit_nosignal,s061,71.0
0.3,1,noncrit_signal,s061,71.0
0.3,1,crit_stop,s061,89.0
0.35,0,crit_stop,s061,89.0
0.3,1,crit_go,s061,89.0
0.3,1,noncrit_nosignal,s061,71.0
0.3,1,noncrit_nosignal,s061,71.0
0.3,1,crit_go,s061,89.0
0.3,1,noncrit_signal,s061,71.0
0.3,1,crit_go,s061,89.0
0.3,1,noncrit_signal,s061,71.0
0.3,1,crit_stop,s061,89.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,noncrit_signal,s061,71.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,1,noncrit_signal,s061,71.0
0.35,1,noncrit_signal,s061,71.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,noncrit_signal,s061,71.0
0.35,0,crit_stop,s061,89.0
0.3,1,crit_go,s061,89.0
0.3,0,crit_stop,s061,89.0
0.25,1,crit_go,s061,89.0
0.25,1,crit_stop,s061,89.0
0.3,1,noncrit_nosignal,s061,71.0
0.3,1,crit_go,s061,89.0
0.3,1,crit_stop,s061,89.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_stop,s061,89.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,crit_go,s061,89.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,noncrit_signal,s061,71.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,crit_go,s061,89.0
0.4,1,crit_go,s061,89.0
0.4,1,noncrit_signal,s061,71.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,0,crit_stop,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,0,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,1,noncrit_signal,s061,71.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,0,crit_stop,s061,89.0
0.3,1,crit_go,s061,89.0
0.3,1,crit_go,s061,89.0
0.3,1,crit_stop,s061,89.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,0,crit_stop,s061,89.0
0.3,1,noncrit_nosignal,s061,71.0
0.3,1,crit_stop,s061,89.0
0.35,1,noncrit_signal,s061,71.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,noncrit_signal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,0,crit_stop,s061,89.0
0.3,1,noncrit_nosignal,s061,71.0
0.3,1,noncrit_signal,s061,71.0
0.3,1,crit_go,s061,89.0
0.3,1,crit_stop,s061,89.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,1,noncrit_signal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_stop,s061,89.0
0.4,0,crit_stop,s061,89.0
0.35,1,noncrit_signal,s061,71.0
0.35,1,noncrit_nosignal,s061,71.0
0.35,1,crit_go,s061,89.0
0.35,1,crit_go,s061,89.0
0.35,1,noncrit_signal,s061,71.0
0.35,1,crit_stop,s061,89.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,crit_go,s061,89.0
0.4,1,crit_go,s061,89.0
0.4,1,noncrit_signal,s061,71.0
0.4,1,noncrit_signal,s061,71.0
0.4,1,noncrit_signal,s061,71.0
0.4,1,crit_go,s061,89.0
0.4,1,noncrit_nosignal,s061,71.0
0.4,1,crit_go,s061,89.0
0.4,0,crit_stop,s061,89.0
0.35,0,crit_stop,s061,89.0
0.3,0,crit_stop,s061,89.0
0.25,1,crit_go,s061,89.0
0.25,1,crit_go,s061,89.0
0.25,1,noncrit_nosignal,s061,71.0
0.25,1,crit_go,s061,89.0
0.25,1,crit_stop,s061,89.0
0.3,0,crit_stop,s061,89.0
0.4,1,crit_go,s130,71.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,crit_go,s130,71.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,crit_go,s130,71.0
0.4,0,crit_stop,s130,71.0
0.35,1,noncrit_nosignal,s130,89.0
0.35,1,noncrit_nosignal,s130,89.0
0.35,1,crit_stop,s130,71.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,crit_stop,s130,71.0
0.45,0,crit_stop,s130,71.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,crit_go,s130,71.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,crit_stop,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,0,crit_stop,s130,71.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,0,crit_stop,s130,71.0
0.35,1,crit_go,s130,71.0
0.35,0,crit_stop,s130,71.0
0.3,1,crit_go,s130,71.0
0.3,1,crit_go,s130,71.0
0.3,1,crit_stop,s130,71.0
0.35,1,noncrit_nosignal,s130,89.0
0.35,1,crit_go,s130,71.0
0.35,0,crit_stop,s130,71.0
0.3,1,crit_go,s130,71.0
0.3,1,crit_go,s130,71.0
0.3,1,noncrit_nosignal,s130,89.0
0.3,1,crit_go,s130,71.0
0.3,1,crit_go,s130,71.0
0.3,1,noncrit_signal,s130,89.0
0.3,1,noncrit_nosignal,s130,89.0
0.3,1,noncrit_nosignal,s130,89.0
0.3,1,noncrit_nosignal,s130,89.0
0.3,1,noncrit_signal,s130,89.0
0.3,1,noncrit_nosignal,s130,89.0
0.3,1,noncrit_nosignal,s130,89.0
0.3,1,crit_stop,s130,71.0
0.35,1,noncrit_nosignal,s130,89.0
0.35,1,crit_go,s130,71.0
0.35,1,noncrit_nosignal,s130,89.0
0.35,1,crit_go,s130,71.0
0.35,1,crit_go,s130,71.0
0.35,1,noncrit_signal,s130,89.0
0.35,1,noncrit_nosignal,s130,89.0
0.35,1,crit_stop,s130,71.0
0.4,1,crit_go,s130,71.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,crit_stop,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_stop,s130,71.0
0.5,1,crit_go,s130,71.0
0.5,1,crit_stop,s130,71.0
0.55,1,noncrit_signal,s130,89.0
0.55,1,crit_go,s130,71.0
0.55,1,noncrit_nosignal,s130,89.0
0.55,1,noncrit_nosignal,s130,89.0
0.55,1,crit_go,s130,71.0
0.55,1,noncrit_signal,s130,89.0
0.55,1,noncrit_nosignal,s130,89.0
0.55,1,noncrit_nosignal,s130,89.0
0.55,0,crit_stop,s130,71.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,crit_go,s130,71.0
0.5,0,crit_stop,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,0,crit_stop,s130,71.0
0.4,1,crit_stop,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_stop,s130,71.0
0.5,1,crit_go,s130,71.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,crit_go,s130,71.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,crit_go,s130,71.0
0.5,1,crit_go,s130,71.0
0.5,0,crit_stop,s130,71.0
0.45,1,crit_stop,s130,71.0
0.5,0,crit_stop,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,0,crit_stop,s130,71.0
0.4,1,crit_stop,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_stop,s130,71.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,0,crit_stop,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,0,crit_stop,s130,71.0
0.4,1,crit_stop,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_stop,s130,71.0
0.5,1,crit_go,s130,71.0
0.5,1,crit_go,s130,71.0
0.5,0,crit_stop,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,0,crit_stop,s130,71.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,crit_go,s130,71.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,crit_stop,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,0,crit_stop,s130,71.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,crit_go,s130,71.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,noncrit_signal,s130,89.0
0.4,1,crit_stop,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_stop,s130,71.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,crit_go,s130,71.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,crit_go,s130,71.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,crit_go,s130,71.0
0.5,1,crit_stop,s130,71.0
0.55,1,noncrit_signal,s130,89.0
0.55,1,noncrit_nosignal,s130,89.0
0.55,1,crit_go,s130,71.0
0.55,1,crit_go,s130,71.0
0.55,1,crit_go,s130,71.0
0.55,1,crit_go,s130,71.0
0.55,1,noncrit_signal,s130,89.0
0.55,1,noncrit_nosignal,s130,89.0
0.55,0,crit_stop,s130,71.0
0.5,1,crit_go,s130,71.0
0.5,0,crit_stop,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_stop,s130,71.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,crit_go,s130,71.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_signal,s130,89.0
0.5,0,crit_stop,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,noncrit_signal,s130,89.0
0.45,0,crit_stop,s130,71.0
0.4,1,noncrit_nosignal,s130,89.0
0.4,1,crit_stop,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_nosignal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_stop,s130,71.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,crit_go,s130,71.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,noncrit_signal,s130,89.0
0.5,1,crit_go,s130,71.0
0.5,0,crit_stop,s130,71.0
0.45,1,noncrit_signal,s130,89.0
0.45,1,crit_go,s130,71.0
0.45,1,crit_stop,s130,71.0
0.5,1,crit_go,s130,71.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,crit_stop,s130,71.0
0.55,0,crit_stop,s130,71.0
0.5,1,noncrit_nosignal,s130,89.0
0.5,1,crit_stop,s130,71.0
0.55,1,crit_go,s130,71.0
0.55,0,crit_stop,s130,71.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,noncrit_signal,s172,89.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,noncrit_signal,s172,89.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,0,crit_stop,s172,71.0
0.35,1,noncrit_nosignal,s172,89.0
0.35,1,crit_go,s172,71.0
0.35,1,crit_stop,s172,71.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,noncrit_signal,s172,89.0
0.4,0,crit_stop,s172,71.0
0.35,1,crit_stop,s172,71.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,crit_go,s172,71.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,noncrit_signal,s172,89.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,noncrit_signal,s172,89.0
0.4,1,crit_stop,s172,71.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,crit_go,s172,71.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_signal,s172,89.0
0.45,0,crit_stop,s172,71.0
0.4,1,crit_go,s172,71.0
0.4,1,crit_stop,s172,71.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,crit_stop,s172,71.0
0.5,1,crit_go,s172,71.0
0.5,1,crit_go,s172,71.0
0.5,0,crit_stop,s172,71.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,crit_stop,s172,71.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,crit_go,s172,71.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_signal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_signal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,crit_stop,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,1,crit_go,s172,71.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,1,crit_go,s172,71.0
0.55,1,noncrit_signal,s172,89.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,0,crit_stop,s172,71.0
0.5,1,crit_go,s172,71.0
0.5,1,crit_go,s172,71.0
0.5,1,crit_stop,s172,71.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,1,crit_go,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,crit_stop,s172,71.0
0.6,1,crit_go,s172,71.0
0.6,0,crit_stop,s172,71.0
0.55,1,noncrit_signal,s172,89.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,1,crit_go,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,noncrit_signal,s172,89.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,0,crit_stop,s172,71.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_signal,s172,89.0
0.5,1,crit_go,s172,71.0
0.5,1,crit_stop,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,1,crit_go,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,0,crit_go,s172,71.0
0.55,1,noncrit_signal,s172,89.0
0.55,1,crit_go,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,noncrit_nosignal,s172,89.0
0.55,0,crit_stop,s172,71.0
0.5,0,crit_stop,s172,71.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,crit_go,s172,71.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,crit_stop,s172,71.0
0.5,1,crit_go,s172,71.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,crit_go,s172,71.0
0.5,1,crit_go,s172,71.0
0.5,1,noncrit_signal,s172,89.0
0.5,1,noncrit_signal,s172,89.0
0.5,1,noncrit_signal,s172,89.0
0.5,1,crit_go,s172,71.0
0.5,1,crit_go,s172,71.0
0.5,1,crit_go,s172,71.0
0.5,0,crit_stop,s172,71.0
0.45,1,crit_stop,s172,71.0
0.5,1,crit_stop,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,0,crit_stop,s172,71.0
0.5,1,crit_stop,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,crit_go,s172,71.0
0.55,1,noncrit_signal,s172,89.0
0.55,0,crit_stop,s172,71.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,0,crit_stop,s172,71.0
0.45,1,crit_go,s172,71.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,crit_go,s172,71.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,crit_go,s172,71.0
0.45,0,crit_stop,s172,71.0
0.4,1,crit_stop,s172,71.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,crit_go,s172,71.0
0.45,1,crit_stop,s172,71.0
0.5,1,crit_go,s172,71.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,0,crit_stop,s172,71.0
0.45,1,crit_go,s172,71.0
0.45,1,crit_go,s172,71.0
0.45,1,crit_go,s172,71.0
0.45,1,crit_go,s172,71.0
0.45,1,crit_go,s172,71.0
0.45,1,noncrit_signal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,1,noncrit_nosignal,s172,89.0
0.45,0,crit_stop,s172,71.0
0.4,1,noncrit_signal,s172,89.0
0.4,1,crit_go,s172,71.0
0.4,1,noncrit_signal,s172,89.0
0.4,1,crit_go,s172,71.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,0,crit_stop,s172,71.0
0.35,1,crit_go,s172,71.0
0.35,1,crit_stop,s172,71.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,noncrit_signal,s172,89.0
0.4,1,noncrit_signal,s172,89.0
0.4,1,noncrit_nosignal,s172,89.0
0.4,1,crit_go,s172,71.0
0.4,1,noncrit_signal,s172,89.0
0.4,1,crit_stop,s172,71.0
0.45,1,crit_go,s172,71.0
0.45,1,crit_go,s172,71.0
0.45,1,crit_stop,s172,71.0
0.5,1,noncrit_signal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_signal,s172,89.0
0.5,1,crit_go,s172,71.0
0.5,1,noncrit_signal,s172,89.0
0.5,1,noncrit_nosignal,s172,89.0
0.5,1,noncrit_signal,s172,89.0
